algorithm,distribution,n,avg_time,std_time,avg_comparisons,avg_swaps
merge_sort,reverse_sorted,10000,0.011327874998096376,0.00012831481504113406,69008.0,
merge_sort,reverse_sorted,50000,0.06428968340042047,0.0017810067810074897,401952.0,
merge_sort,reverse_sorted,100000,0.13682104980107396,0.0035392712781131697,853904.0,
merge_sort,reverse_sorted,500000,0.7505852168018464,0.003907901207846223,4783216.0,
merge_sort,duplicates_heavy,1000,0.0014250497973989696,0.0006205765385515633,8691.2,
merge_sort,duplicates_heavy,5000,0.007286408409709111,0.0001058771615321239,55231.2,
merge_sort,duplicates_heavy,10000,0.01546803319361061,0.00011149336243139909,120428.0,
merge_sort,duplicates_heavy,50000,0.0870839583920315,0.000558002271651547,718135.2,
merge_sort,duplicates_heavy,100000,0.18392361680744215,0.0007081357048572441,1536316.2,
merge_sort,duplicates_heavy,500000,1.0416409745928832,0.005940529483291602,8837785.8,
quicksort,random,1000,0.0018033333995845168,0.0023450916427613542,9372.6,
quicksort,random,5000,0.003710574994329363,0.00010563696944213288,61001.2,
quicksort,random,10000,0.008156791800865903,0.00036571274641856717,131121.6,
quicksort,random,50000,0.04712091659894213,0.0006243618014948224,811799.6,
quicksort,random,100000,0.10039484180742875,0.0012019400113707122,1730349.4,
quicksort,random,500000,0.5702766583941411,0.009735779661892494,9955471.2,
quicksort,nearly_sorted,1000,0.0009671750012785196,0.0006735521302253869,13423.2,
quicksort,nearly_sorted,5000,0.0040651413903106,0.000301659766449947,90119.8,
quicksort,nearly_sorted,10000,0.01004613340483047,0.00200542343094336,241904.4,
quicksort,nearly_sorted,50000,0.05401802499545738,0.00566977230566663,1333854.6,
quicksort,nearly_sorted,100000,0.11333594159805216,0.009042035931733586,2766177.4,
quicksort,nearly_sorted,500000,0.651154283399228,0.03917685313170395,16427880.8,
quicksort,reverse_sorted,1000,0.0011298082012217493,0.0006845120774616987,14378.0,
quicksort,reverse_sorted,5000,0.005141008395003155,0.0001146850834180162,100346.0,
quicksort,reverse_sorted,10000,0.011241541802883148,0.00014195421893543216,225614.0,
quicksort,reverse_sorted,50000,0.06949771699728444,0.0006777391155384631,1418614.0,
quicksort,reverse_sorted,100000,0.1478744585881941,0.0006984526337828587,3087334.0,
quicksort,reverse_sorted,500000,0.8496988418046385,0.0023632001658127908,18306246.0,
quicksort,duplicates_heavy,1000,0.0012038084038067608,0.0007608180975070775,12012.4,
quicksort,duplicates_heavy,5000,0.005015250202268362,0.0002092148431208242,74995.4,
quicksort,duplicates_heavy,10000,0.010736999998334796,0.00034164953981751954,160579.0,
quicksort,duplicates_heavy,50000,0.06040167500032112,0.0009234304906999267,940942.4,
quicksort,duplicates_heavy,100000,0.12472987500368618,0.0010647727458849086,2008002.8,
quicksort,duplicates_heavy,500000,0.692949883203255,0.01102449303781912,11299943.2,
